User_ID,Latitude,Longitude
1,-37.81461946,144.9744435
2,-37.81013955,144.9704545
3,-37.81989156,144.957305
4,-37.81452359,144.9536319
5,-37.8141,144.963
6,-37.81165966,144.9659085
7,-37.81378491,144.9592139
8,-37.81208431,144.9576738
9,-37.81490831,144.9702766
10,-37.81524916,144.9731416
11,-37.81048977,144.9698325
12,-37.81511905,144.967232
13,-37.81937576,144.960727
14,-37.81493991,144.9571064
15,-37.81490423,144.9594679
16,-37.81234196,144.9574726
17,-37.81255101,144.9691212
18,-37.81297799,144.9650039
19,-37.81563594,144.9689189
20,-37.81421733,144.9686862
21,-37.81149844,144.9578509
22,-37.81755324,144.9636794
23,-37.81382437,144.9556425
24,-37.8174989,144.9573337
25,-37.81441434,144.964203
26,-37.81668477,144.9605528
27,-37.8097648,144.9665509
28,-37.81820165,144.9628228
29,-37.81775821,144.9590583
30,-37.81543386,144.9703487
31,-37.81443729,144.9642444
32,-37.81245048,144.9602254
33,-37.81508786,144.9565915
34,-37.81648187,144.9568039
35,-37.81656931,144.962635
36,-37.81818209,144.9554346
37,-37.81093408,144.9711811
38,-37.80981443,144.9710404
39,-37.81177109,144.9687884
40,-37.81314037,144.9721901
41,-37.81845411,144.9556024
42,-37.81760285,144.9653403
43,-37.81302276,144.9574379
44,-37.81196146,144.9579335
45,-37.81631296,144.9548736
46,-37.81061967,144.9661532
47,-37.81890018,144.9565728
48,-37.81620548,144.9562964
49,-37.8173764,144.9582097
50,-37.81246959,144.9651747
51,-37.81530449,144.9738354
52,-37.81559016,144.9578875
53,-37.81515321,144.9543555
54,-37.8119809,144.9610119
55,-37.81583785,144.9567919
56,-37.81822781,144.9620497
57,-37.80975425,144.9653089
58,-37.81601483,144.9621872
59,-37.8182473,144.9578826
60,-37.8116907,144.9729413
61,-37.81030772,144.9634519
62,-37.81501647,144.9610331
63,-37.81598275,144.9703759
64,-37.81005285,144.9724598
65,-37.81662369,144.9619933
66,-37.81550664,144.9588669
67,-37.8083256,144.9710569
68,-37.8152929,144.9581981
69,-37.81540233,144.9686211
70,-37.8204227,144.9555922
71,-37.81636319,144.9575185
72,-37.81114506,144.9586902
73,-37.81491219,144.9672453
74,-37.81281397,144.9596423
75,-37.81609272,144.9595147
76,-37.81442729,144.9618602
77,-37.81528806,144.9575567
78,-37.81262369,144.95432
79,-37.81434478,144.9661723
80,-37.81341173,144.9633448
81,-37.81863463,144.9541238
82,-37.81461413,144.9594044
83,-37.81187287,144.9599064
84,-37.81359639,144.965662
85,-37.81664961,144.9624382
86,-37.81383749,144.9678601
87,-37.81027109,144.9614856
88,-37.81728079,144.9547063
89,-37.81073025,144.9646495
90,-37.80937911,144.966617
91,-37.81542366,144.9711205
92,-37.8142821,144.9558019
93,-37.81398983,144.955264
94,-37.81269048,144.9700193
95,-37.81704271,144.965746
96,-37.80993435,144.9680317
97,-37.81336629,144.9652676
98,-37.81207636,144.9589069
99,-37.81386381,144.9671532
100,-37.81525631,144.9670699
101,-37.81022841,144.9656253
102,-37.81582812,144.9701491
103,-37.81282402,144.967087
104,-37.81353386,144.9708969
105,-37.81710029,144.9666417
106,-37.81361009,144.9638241
107,-37.81616243,144.9551586
108,-37.81343833,144.9543206
109,-37.81381424,144.9568198
110,-37.81219673,144.9584641
111,-37.81685256,144.9658313
112,-37.81077186,144.9617672
113,-37.81582167,144.9544732
114,-37.8122,144.962
115,-37.81453499,144.9669031
116,-37.81112723,144.9703797
117,-37.81878203,144.9608363
118,-37.80887359,144.9669554
119,-37.81414088,144.9730093
120,-37.81145429,144.9603354
121,-37.81714969,144.9596699
122,-37.81184268,144.9719871
123,-37.81436933,144.9744031
124,-37.81636865,144.967822
125,-37.81410954,144.9611027
126,-37.8125822,144.9595375
127,-37.81886389,144.9554225
128,-37.81058884,144.9634395
129,-37.81426518,144.9623253
130,-37.81802237,144.9561846
131,-37.81327369,144.9527875
132,-37.80942182,144.9694891
133,-37.80838794,144.969576
134,-37.81616153,144.9576987
135,-37.81006922,144.9687687
136,-37.81878563,144.9559335
137,-37.81955836,144.9592948
138,-37.81022615,144.9672639
139,-37.81143312,144.9625527
140,-37.81863502,144.9587899
141,-37.81207376,144.9573946
142,-37.80985467,144.9705861
143,-37.81366053,144.9633828
144,-37.81405601,144.9591902
145,-37.81782697,144.9632992
146,-37.81000486,144.9704472
147,-37.81551142,144.9667592
148,-37.8179798,144.9574076
149,-37.81494372,144.9565394
150,-37.81662789,144.9537845
151,-37.8112285,144.9672285
152,-37.81125997,144.9613413
153,-37.8152,144.9632
154,-37.81178516,144.9725827
155,-37.81213897,144.9582042
156,-37.81497877,144.9566463
157,-37.81438822,144.9738746
158,-37.81717822,144.9637657
159,-37.81548412,144.957198
160,-37.81354443,144.9694765
161,-37.8096121,144.9648826
162,-37.81862275,144.9583387
163,-37.8177512,144.9587127
164,-37.8128175,144.9736283
165,-37.8174083,144.9630389
166,-37.8139299,144.970733
167,-37.82086813,144.9555503
168,-37.80999103,144.9686867
169,-37.81617521,144.9702218
170,-37.81588888,144.966133
171,-37.814,144.9633
172,-37.80797792,144.9705252
173,-37.81324989,144.9728659
174,-37.81152297,144.9691647
175,-37.81293683,144.9546286
176,-37.8108092,144.9636643
177,-37.81597967,144.9545891
178,-37.8167991,144.9690129
179,-37.81415094,144.9596518
180,-37.80884738,144.9698392
181,-37.8147006,144.9574459
182,-37.81500069,144.9729725
183,-37.810671,144.9724543
184,-37.81558933,144.9724972
185,-37.81620835,144.9576816
186,-37.81637676,144.9611403
187,-37.81747194,144.9654238
188,-37.81351542,144.9585089
189,-37.81281516,144.9633115
190,-37.8144108,144.9542533
191,-37.8192258,144.9585286
192,-37.81367382,144.9636603
193,-37.82032032,144.9574228
194,-37.81534893,144.9631935
195,-37.80987298,144.9722033
196,-37.8181,144.957
197,-37.81691934,144.9600257
198,-37.81369386,144.963819
199,-37.81725299,144.961355
200,-37.81202543,144.9610532
201,-37.81404453,144.9521882
202,-37.81395067,144.9584248
203,-37.81462278,144.9577905
204,-37.81681528,144.968428
205,-37.8130868,144.9590438
206,-37.81135387,144.9724228
207,-37.81436878,144.9519033
208,-37.81588526,144.9723474
209,-37.81399579,144.9567228
210,-37.81378383,144.9701258
211,-37.81640765,144.9693418
212,-37.80903591,144.9709635
213,-37.81587887,144.9682498
214,-37.8107011,144.9620061
215,-37.81495702,144.963821
216,-37.81538689,144.9663277
217,-37.81805926,144.9623145
218,-37.8135056,144.9724682
219,-37.81125345,144.9683219
220,-37.81605822,144.95719
221,-37.81395307,144.9551235
222,-37.82033055,144.9553119
223,-37.81911225,144.9555417
224,-37.82048326,144.9571245
225,-37.8143644,144.9592734
226,-37.8135724,144.9553983
227,-37.81099375,144.9650449
228,-37.80939171,144.9692116
229,-37.81885506,144.9543119
230,-37.81460718,144.9730611
231,-37.81811513,144.9539862
232,-37.81296456,144.9618325
233,-37.81309855,144.9538525
234,-37.81743753,144.9591746
235,-37.81254479,144.9710348
236,-37.81311802,144.9678083
237,-37.81165698,144.9580631
238,-37.82036253,144.9549597
239,-37.81552347,144.9729142
240,-37.81310801,144.9668725
241,-37.81333453,144.9614875
242,-37.81366436,144.9671969
243,-37.81549186,144.9558917
244,-37.81958753,144.9554577
245,-37.81421616,144.9714349
246,-37.8167294,144.9675842
247,-37.81716691,144.9621351
248,-37.81125367,144.9601671
249,-37.81098989,144.9713293
250,-37.81515032,144.9537646
251,-37.80948572,144.9654382
252,-37.80908851,144.9672906
253,-37.81161773,144.9594305
254,-37.81159318,144.9706844
255,-37.81407906,144.9641002
256,-37.81600895,144.965224
257,-37.81854995,144.9554243
258,-37.81250159,144.9608595
259,-37.81332842,144.9641815
260,-37.81617186,144.9607628
261,-37.81330026,144.9623833
262,-37.81248439,144.9723596
263,-37.81413239,144.9715304
264,-37.8138786,144.9677136
265,-37.8136,144.963
266,-37.81706513,144.9642506
267,-37.81341638,144.9573964
268,-37.81490347,144.9718583
269,-37.81275761,144.9631743
270,-37.81650737,144.9550454
271,-37.81345699,144.9636203
272,-37.81299476,144.96111
273,-37.81354846,144.9663222
274,-37.81904355,144.9613512
275,-37.81519785,144.9715756
276,-37.81111313,144.9595363
277,-37.81150991,144.9716168
278,-37.81429793,144.967194
279,-37.80918138,144.9703882
280,-37.81564721,144.9530463
281,-37.80929406,144.9720816
282,-37.8148,144.963
